tokens,vocab_size
25043819,1451
25044691,1452
25047478,1453
25047499,1454
25047816,1455
25047847,1456
25050960,1457
25052947,1458
25064420,1459
25064755,1460
25065206,1461
25065929,1462
25085617,1463
25086476,1464
25089155,1465
25090129,1466
25090574,1467
25123257,1468
25132292,1469
25133821,1470
25137331,1471
25152000,1472
25152973,1473
25156370,1474
25171663,1475
25172245,1476
25175135,1477
25176369,1478
25178894,1479
25181301,1480
25187519,1481
25189112,1482
25189122,1483
25189706,1484
25191018,1485
25197966,1486
25200009,1487
25201879,1488
25213547,1489
25240757,1490
25250861,1491
25254767,1492
25255756,1493
25260990,1494
25263913,1495
25266535,1496
25285813,1497
25286385,1498
25288336,1499
25296111,1500
25301092,1501
25308827,1502
25308871,1503
25317480,1504
25317932,1505
25334656,1506
25340989,1507
25346602,1508
25349424,1509
25353078,1510
25353110,1511
25353140,1512
25355572,1513
25357902,1514
25362326,1515
25362598,1516
25368845,1517
25370272,1518
25371564,1519
25372204,1520
25374410,1521
25375468,1522
25375586,1523
25376440,1524
25376542,1525
25376981,1526
25382501,1527
25384920,1528
25385723,1529
25386265,1530
25386349,1531
25392662,1532
25393026,1533
25393303,1534
25393371,1535
25393762,1536
25393789,1537
25393817,1538
25394021,1539
25395710,1540
25400148,1541
25400331,1542
25413517,1543
25418853,1544
25442799,1545
25444137,1546
25444421,1547
25444675,1548
25445107,1549
25446462,1550
25446963,1551
25448494,1552
25448832,1553
25448866,1554
25449419,1555
25449933,1556
25452065,1557
25452712,1558
25475504,1559
25477409,1560
25480426,1561
25482961,1562
25484831,1563
25488585,1564
25490243,1565
25492165,1566
25496093,1567
25496939,1568
25509873,1569
25510495,1570
25511611,1571
25512517,1572
25513083,1573
25515050,1574
25515225,1575
25515394,1576
25519796,1577
25520317,1578
25521718,1579
25521985,1580
25527241,1581
25527721,1582
25528319,1583
25528609,1584
25530799,1585
25532565,1586
25533896,1587
25538018,1588
25540752,1589
25547570,1590
25548808,1591
25560669,1592
25571169,1593
25571623,1594
25573159,1595
25575401,1596
25575668,1597
25576024,1598
25576059,1599
25580412,1600
25581042,1601
25581847,1602
25590962,1603
25597567,1604
25605410,1605
25617766,1606
25619802,1607
25620241,1608
25631985,1609
25632289,1610
25633072,1611
25634486,1612
25634499,1613
25637857,1614
25637862,1615
25652658,1616
25652693,1617
25652966,1618
25653061,1619
25654624,1620
25662939,1621
25668911,1622
25669125,1623
25670746,1624
25673698,1625
25676988,1626
25677784,1627
25698396,1628
25700540,1629
25700595,1630
25700609,1631
25702176,1632
25703312,1633
25703892,1634
25705185,1635
25705679,1636
25705761,1637
25707771,1638
25707856,1639
25709890,1640
25713773,1641
25713808,1642
25714208,1643
25721058,1644
25721546,1645
25725956,1646
25727417,1647
25734147,1648
25744535,1649
25753840,1650
25754196,1651
25754987,1652
25755139,1653
25755146,1654
25756601,1655
25756838,1656
25761276,1657
25763697,1658
25764367,1659
25766222,1660
25766348,1661
25792199,1662
25792893,1663
25793373,1664
25793719,1665
25797319,1666
25800534,1667
25807245,1668
25816337,1669
25820818,1670
25843324,1671
25868308,1672
25896490,1673
25897028,1674
25903936,1675
25909858,1676
25913532,1677
25913841,1678
25916392,1679
25918651,1680
25920193,1681
25921680,1682
25928650,1683
25931509,1684
25933061,1685
25933741,1686
25933754,1687
25937807,1688
25940012,1689
25946683,1690
25948209,1691
25962287,1692
25964972,1693
25984525,1694
25989311,1695
25989883,1696
25990500,1697
26003658,1698
26004873,1699
26004984,1700
26008786,1701
26022001,1702
26035410,1703
26035488,1704
26035686,1705
26043702,1706
26049200,1707
26050919,1708
26051047,1709
26051133,1710
26051308,1711
26053025,1712
26054266,1713
26062100,1714
26062136,1715
26063787,1716
26063923,1717
26067807,1718
26086143,1719
26088078,1720
26089202,1721
26090855,1722
26092091,1723
26092159,1724
26100359,1725
26102358,1726
26102454,1727
26105577,1728
26106581,1729
26107458,1730
26119860,1731
26130030,1732
26130870,1733
26133030,1734
26134499,1735
26145400,1736
26149800,1737
26149829,1738
26149838,1739
26150962,1740
26151113,1741
26151124,1742
26151230,1743
26157234,1744
26157465,1745
26158030,1746
26158070,1747
26160210,1748
26160336,1749
26162868,1750
26170462,1751
26193436,1752
26194120,1753
26194143,1754
26195345,1755
26197444,1756
26215127,1757
26217461,1758
26219272,1759
26223135,1760
26223675,1761
26227358,1762
26231066,1763
26268146,1764
26271525,1765
26272712,1766
26280372,1767
26282705,1768
26283100,1769
26283369,1770
26283373,1771
26288231,1772
26288354,1773
26297849,1774
26298073,1775
26298341,1776
26305682,1777
26306212,1778
26306968,1779
26311003,1780
26313973,1781
26314267,1782
26322003,1783
26322012,1784
26352082,1785
26386187,1786
26411899,1787
26413497,1788
26414181,1789
26422676,1790
26433678,1791
26433929,1792
26434037,1793
26434712,1794
26441892,1795
26441991,1796
26444331,1797
26449737,1798
26468448,1799
26468644,1800
26470173,1801
26478498,1802
26479973,1803
26482514,1804
26482814,1805
26483067,1806
26485444,1807
26487451,1808
26491022,1809
26498580,1810
26514268,1811
26517537,1812
26518110,1813
26520854,1814
26521411,1815
26523194,1816
26528312,1817
26532492,1818
26543189,1819
26550887,1820
26558546,1821
26576474,1822
26578112,1823
26578335,1824
26578775,1825
26584771,1826
26595112,1827
26595319,1828
26596156,1829
26606980,1830
26607685,1831
26610535,1832
26615911,1833
26616959,1834
26617825,1835
26617948,1836
26617967,1837
26618205,1838
26627281,1839
26628463,1840
26640087,1841
26640090,1842
26642430,1843
26643433,1844
26656759,1845
26664330,1846
26667976,1847
26671461,1848
26671754,1849
26678074,1850
26683820,1851
26683859,1852
26685143,1853
26690475,1854
26692193,1855
26692247,1856
26695450,1857
26702507,1858
26704159,1859
26705740,1860
26705831,1861
26706841,1862
26718091,1863
26743142,1864
26751905,1865
26763926,1866
26767231,1867
26780018,1868
26830217,1869
26832171,1870
26841578,1871
26843325,1872
26846935,1873
26852646,1874
26860642,1875
26861171,1876
26867342,1877
26868372,1878
26871869,1879
26872533,1880
26876993,1881
26901840,1882
26923304,1883
26926734,1884
26934097,1885
26944211,1886
26949133,1887
26962293,1888
26966397,1889
26969644,1890
26987006,1891
26989185,1892
26991119,1893
26994198,1894
26994408,1895
27003836,1896
27007508,1897
27008401,1898
27026157,1899
27031423,1900
27047231,1901
27049446,1902
27057411,1903
27059396,1904
27061532,1905
27067439,1906
27067519,1907
27073652,1908
27081793,1909
27082884,1910
27090938,1911
27091149,1912
27092331,1913
27092670,1914
27101335,1915
27101412,1916
27102837,1917
27103258,1918
27105171,1919
27106339,1920
27107102,1921
27120573,1922
27120642,1923
27149829,1924
27157954,1925
27158866,1926
27165451,1927
27173244,1928
27180539,1929
27182901,1930
27185428,1931
27185453,1932
27188497,1933
27188964,1934
27191690,1935
27194931,1936
27216893,1937
27217388,1938
27223460,1939
27223487,1940
27227545,1941
27227625,1942
27232001,1943
27232641,1944
27232642,1945
27233042,1946
27236067,1947
27258191,1948
27258334,1949
27274067,1950
27303277,1951
27305526,1952
27305644,1953
27307799,1954
27317534,1955
27318751,1956
27319162,1957
27322893,1958
27336295,1959
27342257,1960
27349335,1961
27370165,1962
27370663,1963
27370798,1964
27377056,1965
27377663,1966
27378618,1967
27382265,1968
27383249,1969
27383369,1970
27386129,1971
27387269,1972
27389270,1973
27389796,1974
27392499,1975
27398611,1976
27405138,1977
27405335,1978
27409892,1979
27411873,1980
27413938,1981
27416439,1982
27423774,1983
27424089,1984
27426893,1985
27427052,1986
27432366,1987
27433752,1988
27434457,1989
27437931,1990
27438387,1991
27442136,1992
27475436,1993
27479465,1994
27479852,1995
27481079,1996
27481782,1997
27484611,1998
27486461,1999
27503031,2000
27512074,2001
27512413,2002
27516121,2003
27529482,2004
27529883,2005
27534303,2006
27534622,2007
27534885,2008
27536631,2009
27536723,2010
27536996,2011
27541885,2012
27567254,2013
27567391,2014
27569845,2015
27570911,2016
27571680,2017
27572233,2018
27585005,2019
27587291,2020
27594281,2021
27594329,2022
27596700,2023
27605243,2024
27605387,2025
27605693,2026
27611582,2027
27613736,2028
27616514,2029
27628734,2030
27638871,2031
27645135,2032
27688604,2033
27688638,2034
27696461,2035
27712489,2036
27712727,2037
27712786,2038
27739596,2039
27739786,2040
27747070,2041
27760164,2042
27760358,2043
27763479,2044
27764771,2045
27767081,2046
27768306,2047
27775808,2048
27775950,2049
27778810,2050
27794844,2051
27797763,2052
27799965,2053
27805130,2054
27816869,2055
27816872,2056
27822857,2057
27823406,2058
27826249,2059
27826762,2060
27828581,2061
27831542,2062
27835752,2063
27836933,2064
27842623,2065
27866621,2066
27867119,2067
27871969,2068
27872397,2069
27873824,2070
27876546,2071
27880711,2072
27881797,2073
27883428,2074
27883430,2075
27883525,2076
27886467,2077
27888110,2078
27896915,2079
27901859,2080
27907520,2081
27910236,2082
27918233,2083
27930644,2084
27943361,2085
27951161,2086
27952396,2087
27957364,2088
27965529,2089
27965647,2090
27971970,2091
27972027,2092
27972217,2093
27978415,2094
27980673,2095
27982616,2096
27982829,2097
27983913,2098
27993322,2099
27996553,2100
27997329,2101
28004476,2102
28013165,2103
28016186,2104
28018393,2105
28018519,2106
28021818,2107
28021821,2108
28022510,2109
28022672,2110
28022673,2111
28023387,2112
28030245,2113
28030252,2114
28030354,2115
28039443,2116
28040116,2117
28070669,2118
28070679,2119
28082349,2120
28088282,2121
28088595,2122
28090542,2123
28116540,2124
28117649,2125
28129165,2126
28130190,2127
28142154,2128
28143336,2129
28143803,2130
28144937,2131
28146867,2132
28149585,2133
28150907,2134
28157650,2135
28159172,2136
28160611,2137
28161828,2138
28162105,2139
28164811,2140
28164939,2141
28165036,2142
28168058,2143
